Feature,Importance_Mean,Importance_Std
tenure,0.12968586116923703,0.004115735281192333
InternetService,0.04101139269937211,0.007791111694597151
MonthlyCharges,0.0280071817923479,0.004971658014807202
IsMonthToMonth,0.012293523469993971,0.0026175861871162547
Contract,0.010746208891988861,0.0026729784871519923
TenureGroup,0.005140664961636699,0.001563266565618692
StreamingMovies,0.003921956134232208,0.0020398286505679724
StreamingTV,0.003525924203673492,0.002466264513298414
AverageChargesPerTenure,0.0033932677155182555,0.001445191115744312
OnlineSecurity,0.0032107520214936123,0.0011481413234973494
PaymentMethod,0.0027081557260584697,0.0013779903392698908
TechSupport,0.002687488697718765,0.0009477789193915177
MultipleLines,0.0025335193365882856,0.0014947104539484374
PaperlessBilling,0.0018508615567437992,0.0013703551446125944
HasInternetService,0.0012816140949132194,0.0011175508358779113
OnlineBackup,0.0011838332170811983,0.0012358762863172792
SeniorCitizen,0.0011248030173860001,0.00039921925834901994
TotalCharges,0.0009274328967423084,0.00104534809468584
DeviceProtection,0.0006966080239736771,0.0009222858675577544
Dependents,0.0002476168332944728,0.0008922527341366194
Partner,7.104290991633011e-06,0.00017918784539239195
NumberOfSupportServices,-1.1496034514058007e-05,0.00024006416068296003
gender,-0.00017528223410588905,9.921998282700878e-05
PhoneService,-0.00018096566689927983,0.00015957821175450278
