gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,TenureGroup,HasInternetService,IsMonthToMonth,NumberOfSupportServices,AverageChargesPerTenure,Actual_Churn,Predicted_Churn_Probability,Predicted_Churn,Risk_Category,Recommended_Action
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,49-72 months,Yes,No,4,117.6138888888889,0,0.11065596672390894,0,Low Risk,Maintain regular customer relationship
Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,0-12 months,Yes,Yes,1,113.56875,0,0.8805398630283834,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,25-48 months,Yes,No,3,78.32195121951219,0,0.13446516581806264,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,13-24 months,Yes,Yes,2,81.59722222222223,0,0.5915985740045943,1,Medium Risk,Monitor customer and offer personalized engagement
Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,49-72 months,Yes,No,3,82.21319444444445,0,0.06868903005705461,0,Low Risk,Maintain regular customer relationship
Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,13-24 months,Yes,Yes,1,94.88333333333333,0,0.7673728049022449,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,13-24 months,Yes,Yes,2,93.16190476190476,0,0.6409458498186748,1,Medium Risk,Monitor customer and offer personalized engagement
Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,13-24 months,No,Yes,0,23.11578947368421,0,0.2484428914452895,0,Low Risk,Maintain regular customer relationship
Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,49-72 months,No,No,0,21.501639344262294,0,0.013956583062419092,0,Low Risk,Maintain regular customer relationship
Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,13-24 months,Yes,Yes,0,45.32941176470588,1,0.5671858422349391,1,Medium Risk,Monitor customer and offer personalized engagement
Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,49-72 months,Yes,Yes,2,107.915,0,0.5259249463489172,0,Medium Risk,Monitor customer and offer personalized engagement
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,49-72 months,Yes,No,4,115.52708333333334,0,0.14353524934300613,0,Low Risk,Maintain regular customer relationship
Male,0,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,49-72 months,Yes,Yes,1,29.655102040816324,0,0.403036402991597,0,Medium Risk,Monitor customer and offer personalized engagement
Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,0-12 months,Yes,Yes,0,82.44090909090909,1,0.8775207509373046,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,No,Yes,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.8,953.65,13-24 months,Yes,Yes,1,50.19210526315789,0,0.23441418106090758,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,49-72 months,Yes,No,0,85.15069444444445,0,0.15591719740810564,0,Low Risk,Maintain regular customer relationship
Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,159.35,0-12 months,No,No,0,19.91875,0,0.07910475656372763,0,Low Risk,Maintain regular customer relationship
