Threshold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
0.1,0.49325762952448543,0.3425925925925926,0.9893048128342246,0.5089408528198074,0.8421039034849775,325,710,4,370
0.11,0.5039034776437189,0.3471307619943556,0.9866310160427807,0.5135699373695198,0.8421039034849775,341,694,5,369
0.12,0.5202271114265437,0.3548076923076923,0.9866310160427807,0.521923620933522,0.8421039034849775,364,671,5,369
0.13,0.5273243435060326,0.35797665369649806,0.983957219251337,0.5249643366619116,0.8421039034849775,375,660,6,368
0.14,0.5393896380411639,0.36372646184340934,0.9812834224598931,0.5307302964569776,0.8421039034849775,393,642,7,367
0.15,0.5464868701206529,0.36656596173212486,0.9732620320855615,0.5325530358449159,0.8421039034849775,406,629,10,364
0.16,0.5621007806955287,0.3748712667353244,0.9732620320855615,0.5412639405204461,0.8421039034849775,428,607,10,364
0.17,0.5727466288147622,0.3805031446540881,0.9705882352941176,0.5466867469879518,0.8421039034849775,444,591,11,363
0.18,0.5798438608942512,0.3842887473460722,0.9679144385026738,0.5501519756838906,0.8421039034849775,455,580,12,362
0.19,0.5855216465578424,0.3875802997858672,0.9679144385026738,0.5535168195718655,0.8421039034849775,463,572,12,362
0.2,0.5933286018452804,0.3914940021810251,0.9598930481283422,0.5561580170410535,0.8421039034849775,477,558,15,359
0.21,0.5990063875088716,0.39447513812154694,0.9545454545454546,0.5582486317435497,0.8421039034849775,487,548,17,357
0.22,0.6075230660042583,0.3995510662177329,0.9518716577540107,0.5628458498023715,0.8421039034849775,500,535,18,356
0.23,0.6167494677075941,0.4052511415525114,0.9491978609625669,0.568,0.8421039034849775,514,521,19,355
0.24,0.6195883605393896,0.4066820276497696,0.9438502673796791,0.5684380032206119,0.8421039034849775,520,515,21,353
0.25,0.6217175301632364,0.4076655052264808,0.9385026737967914,0.5684210526315789,0.8421039034849775,525,510,23,351
0.26,0.6288147622427254,0.41245593419506466,0.9385026737967914,0.5730612244897959,0.8421039034849775,535,500,23,351
0.27,0.6337828246983677,0.4156769596199525,0.9358288770053476,0.5756578947368421,0.8421039034849775,543,492,24,350
0.28,0.63875088715401,0.4187725631768953,0.93048128342246,0.5775933609958506,0.8421039034849775,552,483,26,348
0.29,0.6422995031937544,0.4209245742092457,0.9251336898395722,0.5785953177257525,0.8421039034849775,559,476,28,346
0.3,0.6515259048970902,0.4276885043263288,0.9251336898395722,0.5849535080304311,0.8421039034849775,572,463,28,346
0.31,0.6572036905606813,0.43196004993757803,0.9251336898395722,0.588936170212766,0.8421039034849775,580,455,28,346
0.32,0.6650106458481192,0.43781725888324874,0.9224598930481284,0.5938037865748709,0.8421039034849775,592,443,29,345
0.33,0.6692689850958127,0.4411764705882353,0.9224598930481284,0.596885813148789,0.8421039034849775,598,437,29,345
0.34,0.6749467707594038,0.44545454545454544,0.9171122994652406,0.5996503496503497,0.8421039034849775,608,427,31,343
0.35,0.6792051100070973,0.4482758620689655,0.9037433155080213,0.599290780141844,0.8421039034849775,619,416,36,338
0.36,0.6834634492547906,0.45187165775401067,0.9037433155080213,0.6024955436720143,0.8421039034849775,625,410,36,338
0.37,0.687721788502484,0.4555256064690027,0.9037433155080213,0.6057347670250897,0.8421039034849775,631,404,36,338
0.38,0.6955287437899219,0.4621733149931224,0.8983957219251337,0.6103542234332425,0.8421039034849775,644,391,38,336
0.39,0.7004968062455642,0.46638655462184875,0.8903743315508021,0.6121323529411765,0.8421039034849775,654,381,41,333
0.4,0.7068843151171044,0.4720229555236729,0.8796791443850267,0.6143790849673203,0.8421039034849775,667,368,45,329
0.41,0.7154009936124911,0.48,0.8663101604278075,0.6177311725452812,0.8421039034849775,684,351,50,324
0.42,0.7146912704045423,0.4789156626506024,0.8502673796791443,0.6127167630057804,0.8421039034849775,689,346,56,318
0.43,0.7182398864442867,0.48244274809160304,0.8449197860962567,0.6141885325558795,0.8421039034849775,696,339,58,316
0.44,0.7217885024840313,0.48606811145510836,0.839572192513369,0.615686274509804,0.8421039034849775,703,332,60,314
0.45,0.7217885024840313,0.4859375,0.8315508021390374,0.6134122287968442,0.8421039034849775,706,329,63,311
0.46,0.7260468417317246,0.49044585987261147,0.8235294117647058,0.6147704590818364,0.8421039034849775,715,320,66,308
0.47,0.7281760113555713,0.4927536231884058,0.8181818181818182,0.6150753768844222,0.8421039034849775,720,315,68,306
0.48,0.730305180979418,0.4950980392156863,0.8101604278074866,0.6146044624746451,0.8421039034849775,726,309,71,303
0.49,0.7324343506032647,0.49750415973377704,0.7994652406417112,0.6133333333333333,0.8421039034849775,733,302,75,299
0.5,0.7338537970191625,0.4991596638655462,0.7941176470588235,0.6130030959752322,0.8421039034849775,737,298,77,297
0.51,0.7366926898509581,0.5025728987993139,0.7834224598930482,0.6123301985370951,0.8421039034849775,745,290,81,293
0.52,0.7423704755145494,0.5097345132743363,0.7700534759358288,0.6134185303514377,0.8421039034849775,758,277,86,288
0.53,0.7487579843860894,0.5182481751824818,0.7593582887700535,0.6160520607375272,0.8421039034849775,771,264,90,284
0.54,0.7544357700496807,0.5260223048327137,0.7566844919786097,0.6206140350877193,0.8421039034849775,780,255,91,283
0.55,0.7622427253371186,0.5371428571428571,0.7540106951871658,0.6273637374860956,0.8421039034849775,792,243,92,282
0.56,0.7650816181689141,0.5415860735009671,0.7486631016042781,0.6285072951739619,0.8421039034849775,798,237,94,280
0.57,0.7650816181689141,0.5422396856581533,0.7379679144385026,0.6251415628539071,0.8421039034849775,802,233,98,276
0.58,0.7679205110007097,0.5470941883767535,0.7299465240641712,0.6254295532646048,0.8421039034849775,809,226,101,273
0.59,0.7707594038325053,0.5517241379310345,0.7272727272727273,0.6274509803921569,0.8421039034849775,814,221,102,272
0.6,0.772888573456352,0.5560165975103735,0.7165775401069518,0.6261682242990654,0.8421039034849775,821,214,106,268
0.61,0.7750177430801988,0.5610278372591007,0.7005347593582888,0.6230677764565993,0.8421039034849775,830,205,112,262
0.62,0.7778566359119943,0.5667396061269147,0.6925133689839572,0.6233453670276775,0.8421039034849775,837,198,115,259
0.63,0.7792760823278921,0.5701559020044543,0.6844919786096256,0.6221142162818954,0.8421039034849775,842,193,118,256
0.64,0.7778566359119943,0.5704387990762124,0.660427807486631,0.6121437422552665,0.8421039034849775,849,186,127,247
